leftArmpitAngle,rightArmpitAngle,leftShoulderAngle,rightShoulderAngle,leftElbowAngle,rightElbowAngle,leftHipAngle,rightHipAngle,leftGroinAngle,rightGroinAngle,leftKneeAngle,rightKneeAngle,slope,verticalPose,ratioAvg,action
1.65,31.44,1.65,31.44,158.42,142.39,98.29,93.92,98.29,93.92,169.39,172.17,3.617388613659828,1000,1.1354350378030746,stand
1.1,39.22,1.1,39.22,26.98,140.8,82.87,112.33,82.87,112.33,173.38,165.1,3.4132375117014266,1000,1.0146000074399215,stand
4.32,31.3,4.32,31.3,50.79,71.99,79.83,104.64,79.83,104.64,139.53,164.81,4.079444587443685,1000,1.1396350713495762,stand
19.87,15.02,19.87,15.02,169.51,6.66,78.03,114.53,78.03,114.53,179.59,177.29,3.742891178201162,1000,1.3560335239526582,stand
16.84,10.4,16.84,10.4,174.08,23.18,77.6,115.13,77.6,115.13,178.48,173.72,3.700149122705296,1000,1.3182408474533027,stand
20.83,2.65,20.83,2.65,167.13,13.86,95.02,98.69,95.02,98.69,168.76,170.82,3.5901927035823498,1000,1.158469369059934,stand
18.91,4.74,18.91,4.74,166.74,167.86,97.94,96.06,97.94,96.06,172.2,165.83,3.4396316206799122,1000,1.145530905298797,stand
17.75,7.04,17.75,7.04,165,177.7,75.66,114.62,75.66,114.62,171.75,167.09,3.515918104631737,1000,1.2433324985449064,stand
13.05,19.8,13.05,19.8,172,155.1,73.3,117.34,73.3,117.34,173.74,169.28,4.638341581997973,1000,1.2206366320321838,stand
11.03,25.45,11.03,25.45,164.1,137.93,92.51,99.42,92.51,99.42,173.13,172.6,6.599545345633883,1000,1.1138136265169494,stand
8.9,36.74,8.9,36.74,140.73,133.38,86.87,107.33,86.87,107.33,171.21,170.36,3.8333053226860865,1000,1.1458225958373436,stand
1.1,32.19,1.1,32.19,44.19,159.88,67.93,128.06,67.93,128.06,175,165.28,3.236568745702336,1000,1.0890581319716177,stand
20.03,13.85,20.03,13.85,167.87,8.56,78.06,114.4,78.06,114.4,179.27,176.55,3.6937997461530077,1000,1.363306487075995,stand
17.63,6.13,17.63,6.13,173.15,25.58,104.19,88.43,104.19,88.43,170.75,173.23,3.760894203052594,1000,1.1453856502576265,stand
20.54,4.47,20.54,4.47,168.69,161.93,95.96,97.53,95.96,97.53,168.59,170.25,3.5732772186376964,1000,1.1535325215508707,stand
19.67,5.73,19.67,5.73,162.28,179.62,92.95,99.08,92.95,99.08,173.83,164.67,2.2032909614783183,1000,1.170336932148405,stand
18.72,8.56,18.72,8.56,167.86,176.93,72.09,118.93,72.09,118.93,173.67,167.19,3.6177599769851576,1000,1.2597487838382424,stand
10.94,23.43,10.94,23.43,175.26,138.69,76.46,117.57,76.46,117.57,171.59,168.95,3.6497142926505077,1000,1.2415793121772447,stand
7.29,24.39,7.29,24.39,162.06,145.68,96.35,93.7,96.35,93.7,172.12,172.79,6.803364396083137,1000,1.1325405798929813,stand
9.62,40.25,9.62,40.25,132.13,126.75,83.05,111.93,83.05,111.93,172.88,168.76,3.5249100600021537,1000,1.131129357247584,stand
2.64,35.96,2.64,35.96,22.56,52.19,68.24,121.54,68.24,121.54,177.89,163.08,2.950401548209856,1000,1.1049815439726403,pushdown
55.42,32.44,55.42,32.44,144.19,137.53,15.21,177.19,15.21,177.19,154.5,149.35,0.3493611819612751,-1000,1.7163695900615865,pushdown
65.31,28.53,65.31,28.53,157.76,135.58,53.69,102.59,53.69,102.59,160.3,150.29,0.3551623709268914,-1000,1.6352585565552813,pushdown
49.77,30.12,49.77,30.12,130.61,127.91,149.69,5.72,149.69,5.72,165.81,144.42,0.007961918628964634,-1000,1.4301853607239994,pushdown
60.44,14.23,60.44,14.23,146.74,94.29,124.29,35.75,124.29,35.75,159.37,143.83,0.038561634334888524,-1000,1.5627533893366172,pushdown
80.4,18.48,80.4,18.48,105.04,111.63,74.43,96.5,74.43,96.5,145.64,124.06,0.2657491146897665,-1000,2.251735334577348,pushdown
49.49,27.92,49.49,27.92,100.36,129.53,55.33,119.59,55.33,119.59,139.67,125.37,0.141547398574792,-1000,2.0346151725706925,pushdown
55.04,12.04,55.04,12.04,140.87,115.47,90.14,63.56,90.14,63.56,170.43,138.72,0.09717643072072321,-1000,1.2162884620803873,pushdown
47.4,11.24,47.4,11.24,132.59,113.66,116.84,46.38,116.84,46.38,159.76,141.44,0.3734016794687598,-1000,1.4070793646953201,pushdown
15.01,34.69,15.01,34.69,133.02,150.91,104.71,68.82,104.71,68.82,149.32,163.3,0.4812842515745049,-1000,1.3274225074422321,pushdown
49.72,33.09,49.72,33.09,156.4,149.06,118.65,77.43,118.65,77.43,156.45,135.31,0.262924280063377,-1000,1.4489337214678772,pushdown
28.29,28.01,28.29,28.01,116.57,134.57,95.64,92.34,95.64,92.34,158.12,148.45,0.20926976654029503,-1000,1.6862365907101227,pushdown
47.62,32.95,47.62,32.95,144.92,136.81,82.73,105.36,82.73,105.36,157.08,136.38,0.3678491532640957,-1000,1.5861153245009483,pushdown
65.28,17.45,65.28,17.45,151.7,117.93,68.13,80.35,68.13,80.35,150.5,138.02,0.5100754010257057,-1000,1.684513445531611,pushdown
47.54,20.89,47.54,20.89,133.74,127.9,125.54,19.2,125.54,19.2,156.09,139.83,0.23887514002510682,-1000,1.627993822745451,pushdown
86.33,16.14,86.33,16.14,177.34,100.52,41.88,110.06,41.88,110.06,129.69,132.89,0.2568938264914422,-1000,1.9459383574933657,pushdown
47.73,21.76,47.73,21.76,123.55,111.53,39.98,109.02,39.98,109.02,136.19,123.67,0.2986063212152762,-1000,1.91140192869615,pushdown
43.8,26.5,43.8,26.5,90.14,108.14,33.34,124.18,33.34,124.18,126.13,118.29,0.1528820824559958,-1000,1.7925511906424871,pushdown
28.41,28.4,28.41,28.4,115.2,91.5,21.71,161.35,21.71,161.35,144.24,126.72,0.15884378728260273,-1000,2.2311739797246686,pushdown
